total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1356,506,268
0,0,1340,506,265
0,0,1340,506,265
0,0,1315,506,260
0,0,1315,506,260
0,0,1368,507,270
0,0,1368,507,270
0,0,1371,506,271
0,0,1371,506,271
0,0,1585,505,314
0,0,1585,505,314
0,0,1505,507,297
0,0,1505,507,297
0,0,1593,506,315
0,0,1593,506,315
0,0,1669,506,330
0,0,1669,506,330
0,0,1789,504,355
0,0,1789,504,355
0,0,1649,506,326
0,0,1649,506,326
0,0,1588,506,314
0,0,1588,506,314
0,0,1536,507,303
0,0,1536,507,303
0,0,1521,507,300
0,0,1521,507,300
0,0,1593,506,315
0,0,1593,506,315
0,0,1528,506,302
0,0,1528,506,302
0,0,1588,506,314
0,0,1588,506,314
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1521,507,300
0,0,1578,506,312
0,0,1578,506,312
0,0,1578,506,312
0,0,1578,506,312
0,0,1696,505,336
0,0,1696,505,336
1,5,1644,506,325
1,5,1644,506,325
1,5,1669,506,330
1,5,1669,506,330
1,5,1710,506,338
1,5,1710,506,338
1,5,1654,506,327
1,6,1654,506,327
1,6,1654,506,327
1,6,1654,506,327
1,6,1538,506,304
1,6,1538,506,304
1,6,1624,506,321
1,6,1624,506,321
1,7,1531,507,302
1,7,1531,507,302
1,7,1531,507,302
1,7,1531,507,302
1,7,1526,507,301
1,7,1526,507,301
1,7,1578,506,312
1,7,1578,506,312
1,7,1659,506,328
1,7,1659,506,328
1,7,1649,506,326
1,8,1649,506,326
1,8,1691,505,335
1,8,1691,505,335
1,8,1588,506,314
1,8,1588,506,314
1,8,1531,507,302
1,8,1531,507,302
1,9,1515,507,299
1,9,1515,507,299
1,9,1521,507,300
1,9,1521,507,300
1,9,1717,505,340
1,9,1717,505,340
1,9,1521,507,300
1,10,1521,507,300
1,10,1521,507,300
1,10,1521,507,300
1,10,1521,507,300
2,10,1521,507,300
2,10,1578,506,312
2,10,1578,506,312
2,10,1546,507,305
2,10,1546,507,305
2,10,1515,507,299
2,10,1515,507,299
2,11,1470,507,290
2,11,1470,507,290
2,11,1480,507,292
2,11,1480,507,292
2,11,1455,507,287
2,11,1455,507,287
2,11,1450,507,286
2,12,1450,507,286
2,12,1465,507,289
2,12,1465,507,289
2,12,1480,507,292
2,12,1480,507,292
2,12,1439,507,284
2,12,1439,507,284
2,12,1325,506,262
2,12,1325,506,262
2,12,1194,506,236
2,12,1194,506,236
2,13,1189,506,235
2,13,1189,506,235
2,13,1181,505,234
2,13,1181,505,234
2,13,1333,507,263
2,13,1333,507,263
2,13,1320,506,261
2,13,1320,506,261
2,13,1373,507,271
2,13,1373,507,271
2,13,1384,507,273
2,14,1384,507,273
2,14,1310,506,259
2,14,1310,506,259
2,14,1254,506,248
2,14,1254,506,248
2,14,1191,505,236
2,14,1191,505,236
2,14,1199,506,237
2,14,1199,506,237
2,14,1194,506,236
2,14,1194,506,236
3,15,1189,506,235
3,15,1189,506,235
3,15,1178,506,233
3,15,1178,506,233
3,15,1315,506,260
3,15,1315,506,260
3,15,1330,506,263
3,16,1330,506,263
3,16,1249,506,247
3,16,1249,506,247
3,16,1184,506,234
3,16,1184,506,234
3,16,1189,506,235
3,16,1189,506,235
3,16,1184,506,234
3,16,1184,506,234
3,16,1199,506,237
3,16,1199,506,237
3,17,1173,506,232
3,17,1173,506,232
3,17,1320,506,261
3,17,1320,506,261
3,17,1320,506,261
3,17,1320,506,261
3,17,1315,506,260
3,17,1315,506,260
3,17,1199,506,237
3,17,1199,506,237
3,17,1194,506,236
3,18,1194,506,236
3,18,1189,506,235
3,18,1189,506,235
3,18,1186,505,235
3,18,1186,505,235
3,18,1181,505,234
3,18,1181,505,234
3,18,1371,506,271
3,18,1371,506,271
3,18,1439,507,284
3,18,1439,507,284
3,19,1439,507,284
3,19,1439,507,284
3,19,1381,506,273
3,19,1381,506,273
3,19,1178,506,233
3,19,1178,506,233
3,19,1204,506,238
3,19,1204,506,238
3,19,1181,505,234
3,19,1181,505,234
3,19,1186,505,235
3,20,1186,505,235
3,20,1184,506,234
3,20,1184,506,234
4,20,1320,506,261
4,20,1320,506,261
4,20,1335,506,264
4,20,1335,506,264
4,20,1259,506,249
4,20,1259,506,249
4,20,1186,505,235
4,21,1186,505,235
4,21,1184,506,234
4,21,1184,506,234
4,21,1191,505,236
4,21,1191,505,236
4,21,1204,506,238
