total_m_watt_hour,total_m_amp_hour,m_watts,m_volts,m_amps
0,0,1325,506,262
0,0,1325,506,262
0,0,1320,506,261
0,0,1320,506,261
0,0,1305,506,258
0,0,1305,506,258
0,0,1184,506,234
0,0,1184,506,234
0,0,1285,506,254
0,0,1285,506,254
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1320,506,261
0,0,1361,506,269
0,0,1361,506,269
0,0,1325,506,262
0,0,1325,506,262
0,0,1310,506,259
0,0,1310,506,259
0,0,1381,506,273
0,0,1381,506,273
0,0,1439,507,284
0,0,1439,507,284
0,0,1444,507,285
0,0,1444,507,285
0,0,1439,507,284
0,0,1439,507,284
0,0,1376,506,272
0,0,1376,506,272
0,0,1450,507,286
0,0,1450,507,286
0,0,1629,506,322
0,0,1629,506,322
0,0,1747,505,346
0,0,1747,505,346
0,0,1659,506,328
0,0,1659,506,328
0,0,1690,506,334
0,0,1690,506,334
0,0,1711,505,339
0,0,1711,505,339
0,0,1727,505,342
0,0,1727,505,342
1,5,1536,507,303
1,5,1536,507,303
1,5,1666,505,330
1,5,1666,505,330
1,5,1727,505,342
1,5,1727,505,342
1,5,1684,506,333
1,6,1684,506,333
1,6,1868,505,370
1,6,1868,505,370
1,6,1674,506,331
1,6,1674,506,331
1,6,1659,506,328
1,6,1659,506,328
1,6,1619,506,320
1,7,1619,506,320
1,7,1556,507,307
1,7,1556,507,307
1,7,1742,505,345
1,7,1742,505,345
1,7,1526,507,301
1,7,1526,507,301
1,7,1624,506,321
1,7,1624,506,321
1,7,1701,505,337
1,8,1701,505,337
1,8,1543,506,305
1,8,1543,506,305
1,8,1747,505,346
1,8,1747,505,346
1,8,1531,507,302
1,8,1531,507,302
1,8,1578,506,312
1,9,1578,506,312
1,9,1536,507,303
1,9,1536,507,303
1,9,1521,507,300
1,9,1521,507,300
1,9,1521,507,300
1,9,1521,507,300
2,10,1521,507,300
2,10,1521,507,300
2,10,1526,507,301
2,10,1526,507,301
2,10,1531,507,302
2,10,1531,507,302
2,10,1561,507,308
2,11,1561,507,308
2,11,1521,507,300
2,11,1521,507,300
2,11,1521,507,300
2,11,1521,507,300
2,11,1782,505,353
2,11,1782,505,353
2,11,1654,506,327
2,11,1654,506,327
2,11,1649,506,326
2,11,1649,506,326
2,12,1654,506,327
2,12,1654,506,327
2,12,1659,506,328
2,12,1659,506,328
2,12,1649,506,326
2,12,1649,506,326
2,12,1654,506,327
2,13,1654,506,327
2,13,1664,506,329
2,13,1664,506,329
2,13,1521,507,300
2,13,1521,507,300
2,13,1358,507,268
2,13,1358,507,268
2,14,1320,506,261
2,14,1320,506,261
2,14,1376,506,272
2,14,1376,506,272
2,14,1444,507,285
2,14,1444,507,285
2,14,1450,507,286
2,14,1450,507,286
2,14,1305,506,258
2,14,1305,506,258
2,14,1320,506,261
3,15,1320,506,261
3,15,1340,506,265
3,15,1340,506,265
3,15,1325,506,262
3,15,1325,506,262
3,15,1249,506,247
3,15,1249,506,247
3,15,1194,506,236
3,15,1194,506,236
3,15,1191,505,236
3,15,1191,505,236
3,16,1199,506,237
3,16,1199,506,237
3,16,1194,506,236
3,16,1194,506,236
3,16,1189,506,235
3,16,1189,506,235
3,16,1320,506,261
3,17,1320,506,261
3,17,1315,506,260
3,17,1315,506,260
3,17,1259,506,249
3,17,1259,506,249
3,17,1184,506,234
3,17,1184,506,234
3,17,1196,505,237
3,17,1196,505,237
3,17,1310,506,259
3,17,1310,506,259
3,18,1315,506,260
3,18,1315,506,260
3,18,1305,506,258
3,18,1305,506,258
3,18,1379,507,272
3,18,1379,507,272
3,18,1330,506,263
3,18,1330,506,263
3,18,1340,506,265
3,18,1340,506,265
3,18,1305,506,258
3,19,1305,506,258
3,19,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1315,506,260
3,19,1196,505,237
3,19,1196,505,237
3,19,1244,506,246
3,19,1244,506,246
3,20,1356,506,268
3,20,1356,506,268
3,20,1325,506,262
4,20,1325,506,262
4,20,1259,506,249
4,20,1259,506,249
4,20,1194,506,236
4,20,1194,506,236
4,20,1186,505,235
4,20,1186,505,235
4,20,1234,506,244
4,21,1234,506,244
4,21,1181,505,234
4,21,1181,505,234
4,21,1191,505,236
4,21,1191,505,236
4,21,1315,506,260
4,21,1315,506,260
4,21,1330,506,263
4,21,1330,506,263
4,21,1275,506,252
4,21,1275,506,252
